id,code,name,account_type,account_class,parent_id,level,is_vat_applicable,vat_direction,is_active,is_analytical,company_id,created_at,updated_at,supports_quantities,default_unit
46,101,Основен капитал,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
47,102,Основен капитал,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
48,103,Ликвидационен капитал при несъстоятелност и ликвидация,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
49,104,Капитал на предприятия с нестопанска дейност,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
50,105,Премии,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
51,106,Отбиви/сконто/,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
52,111,Общи резерви,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
53,112,Резерви от последваща оценка на дълготрайни активи,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
54,113,Резерви от последваща оценка на краткотрайни активи,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
55,114,Резерви от последваща оценка на финансови инструменти,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
56,115,Резерви от емисия на акции,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
57,119,Други резерви,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
58,121,Непокрита загуба от минали години,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
59,122,Неразпределена печалба от минали години,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
60,123,Печалби и загуби от текущата година,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
61,124,Резултати при несъстоятелност и ликвидация,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
62,125,Резултат от дейността на предприятия с нестопанска цел,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
63,131,Резерви за животозастраховане,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
64,132,Пренос-премийни резерви,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
65,133,Резерви на предстоящи плащания,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
66,134,Резерви за запасен фонд,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
67,135,Резерви за презастраховане,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
68,136,Други резерви по застрахователни договори,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
69,137,Резерви на инвестиционни дружества,EQUITY,1,,1,f,NONE,t,f,1,2025-10-19 13:46:04.032775+00,2025-10-19 13:46:04.032775+00,f,
